id,name,year,genre
314346,Little Jimmy Dickens,1930.0,Country
315336,Perry Como,1930.0,Vocal
3413,Allan Jones,1930.0,Vocal
142178,Frankie Laine,1930.0,Vocal
49806,Blind Boy Fuller,1930.0,Blues
1006782,Sonny Boy Williamson I,1930.0,Blues
760240,Bernard Herrmann,1930.0,Stage & Screen
278559,Jerry Lewis,1930.0,Comedy/Spoken
527379,Bukka White,1930.0,Blues
634674,Buck Clayton,1930.0,Jazz
536754,Burl Ives,1930.0,Folk
847735,Marlene Dietrich,1930.0,Vocal
317093,Nat King Cole,1930.0,Jazz
325401,Petula Clark,1930.0,Pop/Rock
43499,The Andrews Sisters,1930.0,Vocal
253457,Dick Haymes,1930.0,Vocal
813092,John Jacob Niles,1930.0,Folk
898336,Mississippi Sheiks,1930.0,Blues
140553,Lecuona Cuban Boys,1930.0,Latin
200775,Ernest Tubb,1930.0,Country
639697,Cachao,1930.0,Latin
111934,Ivie Anderson,1930.0,Vocal
955009,Daniel Santos,1930.0,Latin
642664,George Shearing,1930.0,Jazz
1163,Serge Chaloff,1930.0,Jazz
181694,Carmen Miranda,1930.0,Vocal
344275,Mel TormÃ©,1930.0,Vocal
315909,Pete Johnson,1930.0,Jazz
577531,Woody Guthrie,1930.0,Folk
1950198,Bidu SayÃ£o,1930.0,Classical
287604,Louis Jordan,1930.0,Jazz
793227,Ben Webster,1930.0,Jazz
792507,Frank Sinatra,1930.0,Vocal
1528006,Olivier Messiaen,1930.0,Classical
183867,John Cage,1930.0,Classical
869487,Ray Conniff,1930.0,Easy Listening
304458,Jule Styne,1930.0,Stage & Screen
532957,Cab Calloway,1930.0,Jazz
404463,Ravi Shankar,1930.0,International
60306,Harold Arlen,1930.0,Stage & Screen
825032,Hot Lips Page,1930.0,Jazz
244406,Johnny Mercer,1930.0,Vocal
942252,Compay Segundo,1930.0,Latin
46214,Aunt Molly Jackson,1930.0,Country
303050,Rufus Thomas,1930.0,R&B
112017,Jo Stafford,1930.0,Vocal
848784,Roy Acuff,1930.0,Country
171728,Ethel Merman,1930.0,Vocal
74970,Bob Wills,1930.0,Country
1416172,Jack Johnson,1930.0,Religious
631071,Buddy Tate,1930.0,Jazz
607804,Alan Lomax,1930.0,Folk
749504,StÃ©phane Grappelli,1930.0,Jazz
60679,Big Joe Williams,1930.0,Blues
276917,Howard McGhee,1930.0,Jazz
225389,Jay McShann,1930.0,Jazz
954694,Helen Ward,1930.0,Vocal
395819,Maxine Sullivan,1930.0,Vocal
397042,Maynard Ferguson,1930.0,Jazz
366889,Martha Raye,1930.0,Vocal
220312,Jorge Negrete,1930.0,Latin
300659,Pedro Infante,1930.0,Latin
403120,The Mills Brothers,1930.0,Vocal
744548,Spike Jones,1930.0,Comedy/Spoken
743929,Stan Kenton,1930.0,Jazz
408531,Ray Nance,1930.0,Jazz
2130,Alfred Newman,1930.0,Stage & Screen
511029,Artie Shaw,1930.0,Jazz
662800,Hank Snow,1930.0,Country
269390,Homer & Jethro,1930.0,Country
642427,Buddy Clark,1930.0,Vocal
670641,"Harry ""Sweets"" Edison",1930.0,Jazz
511773,Les Brown,1930.0,Jazz
639789,Bunny Berigan,1930.0,Jazz
322279,Pete Steele,1930.0,Folk
583723,MiklÃ³s RÃ³zsa,1930.0,Stage & Screen
40695,Mary Martin,1930.0,Stage & Screen
369389,Kay Thompson,1930.0,Vocal
454240,Red Sovine,1930.0,Country
11028,Frank Loesser,1930.0,Stage & Screen
783025,Jimmy Yancey,1930.0,Blues
765773,Jimmy McPartland,1930.0,Jazz
346637,Roy Eldridge,1930.0,Jazz
64817,Big Walter Horton,1930.0,Blues
749272,Slim & Slam,1930.0,Vocal
210757,Johnny Guarnieri,1930.0,Jazz
494537,Milt Hinton,1930.0,Jazz
316340,Luiz Gonzaga,1930.0,Latin
82831,The Ink Spots,1930.0,Vocal
82584,Billy Eckstine,1930.0,Vocal
816895,The Delta Rhythm Boys,1930.0,Jazz
81796,Kenny Clarke,1930.0,Jazz
197532,Charles TrÃ©net,1930.0,Vocal
353145,Roy Rogers,1930.0,Country
359199,Billy Strayhorn,1930.0,Jazz
79016,Billie Holiday,1930.0,Vocal
66228,Big Maybelle,1930.0,Blues
958076,Woody Herman,1930.0,Jazz
762921,The Charioteers,1930.0,Religious
369270,Professor Longhair,1930.0,Blues
421122,Memphis Slim,1930.0,Blues
77698,Bobby Hackett,1930.0,Jazz
608166,Al Bowlly,1930.0,Vocal
753094,Son House,1930.0,Blues
170330,Franz Waxman,1930.0,Stage & Screen
959775,Victor Young,1930.0,Vocal
78242,Ibrahim Ferrer,1930.0,Latin
802791,Gene Kelly,1930.0,Vocal
750203,Slim Gaillard,1930.0,Vocal
873886,Raymond Scott,1930.0,Jazz
276085,Howlin' Wolf,1930.0,Blues
29609,Paul Weston,1930.0,Jazz
272713,Peter Knight,1930.0,Vocal
199229,Johnny Bond,1930.0,Country
551815,Gil Evans,1930.0,Jazz
720786,Pete Brown,1930.0,Jazz
950571,Harry James,1930.0,Jazz
251210,Pee Wee Crayton,1930.0,Blues
769388,Billy May,1930.0,Jazz
66276,Dorival Caymmi,1930.0,Latin
813485,Lee Wiley,1930.0,Vocal
246022,Merle Travis,1930.0,Country
815575,Lena Horne,1930.0,Vocal
150629,Ã‰dith Piaf,1930.0,Vocal
138560,Frankie Carle,1930.0,Jazz
230886,Roaring Lion,1930.0,International
748088,Bert Kaempfert,1930.0,Easy Listening
825208,Lightnin' Hopkins,1930.0,Blues
754767,AndrÃ© Kostelanetz,1930.0,Easy Listening
162677,Dizzy Gillespie,1930.0,Jazz
184502,Ella Fitzgerald,1930.0,Vocal
189644,Doris Day,1930.0,Vocal
857203,Kay Starr,1930.0,Vocal
193160,The Maddox Brothers & Rose,1930.0,Country
176936,Elmore James,1930.0,Blues
204714,Johnny Shines,1930.0,Blues
549797,Hank Williams,1930.0,Country
172350,Don Byas,1930.0,Jazz
903609,Jim Reeves,1930.0,Country
211758,Charlie Parker,1930.0,Jazz
656420,Lola Flores,1930.0,Latin
213590,Joe Williams,1930.0,Vocal
166767,Charlie Barnet,1930.0,Jazz
837592,June Christy,1930.0,Vocal
3829,T-Bone Walker,1930.0,Blues
805930,Charlie Christian,1930.0,Jazz
276592,Jess Stacy,1930.0,Jazz
