influencer_id,influencer_name,year,genre,followers_num,genre_rank,kl_year,kl_genre,width,affinity,strength,static_influence
754032,The Beatles,1960,Pop/Rock,615,1.0,0.058042475268360386,0.5144558117862752,0.4454077754561184,0.5048477479438106,164.85731053819111,37.07032794220514
66915,Bob Dylan,1960,Pop/Rock,389,2.0,0.08410032060430861,0.28081008059081386,0.4802524790023,0.5068319903502868,131.11290904015334,22.566493937123337
316834,Marvin Gaye,1950,R&B,169,1.0,0.5084011729560688,0.014943988271153702,0.4517800570877142,0.5085950006108033,80.3132734826578,18.453828085332635
104714,Kraftwerk,1970,Electronic,108,1.0,0.12186714048630673,0.07377123765410878,0.5060262525911368,0.5140342283237498,67.24652103685767,17.49181632928431
423829,Miles Davis,1940,Jazz,160,1.0,0.384097692654777,0.0007036198487406185,0.4745762777754269,0.5071570901033045,68.78686685132689,16.5559480676581
608701,Muddy Waters,1940,Blues,113,1.0,0.328212986172056,0.017573630212364688,0.48159373910355663,0.5136517897396429,57.807575995068845,14.299945976995668
128099,James Brown,1950,R&B,154,2.0,0.1197624112777912,8.433836572248592e-05,0.5167527181065623,0.5092706408382728,76.66627025853806,14.266608632997292
549797,Hank Williams,1930,Country,184,1.0,0.8484843794844489,0.0014790284700570387,0.3930116879892388,0.5120996187330893,67.96756397930946,13.679229108873944
894465,The Rolling Stones,1960,Pop/Rock,319,3.0,0.0533386888091925,0.8595049709706835,0.38548475454963627,0.5077478312362057,118.73151084329251,13.417161606892272
79016,Billie Holiday,1930,Vocal,106,1.0,0.33653516516605,0.06877859173601353,0.473460654317714,0.5114632329713737,51.58764775939067,12.492347003826254
816890,Johnny Cash,1950,Country,112,2.0,0.10144600912786043,0.0,0.5195284286732301,0.5120713588206135,65.38121495773258,12.299226277208456
785380,"Lee ""Scratch"" Perry",1960,Reggae,48,1.0,0.14956449119235365,0.0034843346580467616,0.5117420209516864,0.5101753752569579,46.0565360635864,12.02435650084224
622805,Stevie Wonder,1960,R&B,138,3.0,0.07648928545461822,0.021019608082725003,0.5202878810470899,0.507051227252716,78.09265636573807,11.89447058889609
750519,Terry Riley,1960,Avant-Garde,34,1.0,0.10484154834430752,0.0,0.5190176314798869,0.5157238233575753,38.76235111817017,10.375509116053964
175553,John Coltrane,1940,Jazz,118,2.0,0.3208174588956121,0.007088213601793035,0.48417220715121506,0.5088578316882542,59.07266182657044,10.29124368611603
