artist_name,artist_id,danceability,energy,valence,tempo,loudness,key,acousticness,instrumentalness,liveness,speechiness,distance,action
Willie Nelson,583959,0.7036862885164226,0.4409890523033041,1.1465204443500527,0.016240104711020054,0.38963632680464955,2.4807413974180603,0.3229491404666618,0.09800695839648128,0.3533339054833665,1.4085705359812115,3.2454784346936267,0
Waylon Jennings,200791,0.27863844969900686,0.24680821447144083,0.2629194596668346,0.03157508984070112,0.20784556319530334,2.4807413974180603,0.7949339956457527,0.44443988852157845,0.21900639386807091,1.6077278239054689,3.1413618696692973,1
George Strait,944084,0.06232492855641758,0.20389087005409023,0.7394339408485515,0.42655623305606083,0.022244241111296525,0.31009267467725743,1.4884505204012082,0.12675655097553198,0.6883855887710335,1.7979241549280771,2.6093637328282173,1
Marty Robbins,858710,0.5095430274083681,0.6448682762331776,0.8379378421123789,0.02584226763380887,0.06216088628480709,1.8605560480635452,0.47113672363200987,0.10110733543893291,0.6815857404933572,1.5464952397291971,2.8164212714126418,0
Bill Evans,61912,1.679068010179134,1.308368212965548,2.040792901402202,0.632104175314007,1.8513909905906853,3.1009267467725756,0.7987511158276484,4.334098755203369,1.2485602953981085,1.4785218970081269,6.730990163662916,0
"Hank Williams, Jr.",117844,0.013403830497724978,0.4816553497081805,0.19040283371792782,0.07533069920270702,0.08743077868076699,2.4807413974180603,1.859001653670489,0.1538869868742325,1.0036162383924685,1.4641687194713848,3.6147510923923254,1
George Jones,944310,0.739633369589949,0.29731235855435534,0.5718958077363896,0.2657469183251955,0.08573995001662482,0.9302780240317725,0.35080047032202444,0.11696370969536854,0.3561372352418937,1.606746203523759,2.179705372915994,0
Dolly Parton,175286,0.5331481170084651,0.22226264272198792,0.6461293043939382,0.017385830716909023,0.10140187719725569,2.4807413974180603,0.31170959202827453,0.11379408478310046,0.7462307904898987,1.4616122046317432,3.1175432244936534,0
Alan Jackson,605375,0.15084332718213178,0.48583404117408907,0.6265732824149854,0.5245740141898073,0.6218345237755153,0.9302780240317725,1.4899030924836123,0.1285108964361937,0.8505264360957308,1.8036924653588784,2.8968403097269895,0
Lefty Frizzell,190946,0.43507329101537584,0.941513607123783,0.04997244324696931,0.1455901699028403,0.30857850522487007,1.8605560480635452,0.24951242572045107,0.12042669093270938,0.9408828990623039,1.6753524327169909,2.9026100887855706,0
Kenny Chesney,68551,0.08231199999810396,1.1002499228433202,1.0934017900495407,0.676647768902211,1.1107517585824724,0.9302780240317725,1.9987329334090342,0.1445705389310056,0.656268074914363,1.5789335813428216,3.451006306450246,0
Alabama,936206,0.8573481985581952,0.13205700178221336,0.8277533754785368,0.07728352822012252,0.18108585599254812,0.9302780240317725,1.742619977426342,0.15422569881912065,0.12286607922518133,1.569034558921349,2.807012315842821,0
Merle Haggard,410219,0.40339467029864073,0.21622992694501286,0.416894735740693,0.11525980509221045,0.31049546197583633,2.4807413974180603,0.7007013819245016,0.040386598317805306,0.6710271621209503,1.4613061405407055,3.118551040163067,1
